# Schottky from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]  dS[eV/K]  dS[J/K/mol]  dCv[eV/K]  dCv[J/K/mol]
    890.0000     -0.41768036      0.00103352      5.04300774      4.62532737      5.04404125  4.70465035e-04     45.39297715  2.80578163e-06      0.27071678
    900.0000     -0.42238517      0.00106071      5.04300774      4.62062257      5.04406844  4.70495418e-04     45.39590869  2.63394285e-06      0.25413686
    910.0000     -0.42709026      0.00108623      5.04300774      4.61591747      5.04409397  4.70523618e-04     45.39862959  2.47159276e-06      0.23847246
    920.0000     -0.43179563      0.00111017      5.04300774      4.61121210      5.04411791  4.70549785e-04     45.40115432  2.31816187e-06      0.22366863
    930.0000     -0.43650125      0.00113262      5.04300774      4.60650648      5.04414036  4.70574056e-04     45.40349617  2.17312390e-06      0.20967459
    940.0000     -0.44120711      0.00115366      5.04300774      4.60180063      5.04416139  4.70596560e-04     45.40566740  2.03598004e-06      0.19644222
    950.0000     -0.44591318      0.00117336      5.04300774      4.59709456      5.04418110  4.70617413e-04     45.40767945  1.90626998e-06      0.18392710
    960.0000     -0.45061945      0.00119181      5.04300774      4.59238828      5.04419954  4.70636726e-04     45.40954289  1.78355496e-06      0.17208690
    970.0000     -0.45532591      0.00120906      5.04300774      4.58768183      5.04421679  4.70654604e-04     45.41126778  1.66743362e-06      0.16088289
    980.0000     -0.46003254      0.00122518      5.04300774      4.58297520      5.04423291  4.70671138e-04     45.41286308  1.55752297e-06      0.15027813
    990.0000     -0.46473933      0.00124023      5.04300774      4.57826841      5.04424796  4.70686418e-04     45.41433744  1.45347083e-06      0.14023862
   1000.0000     -0.46944626      0.00125427      5.04300774      4.57356147      5.04426200  4.70700528e-04     45.41569878  1.35493866e-06      0.13073171
   1010.0000     -0.47415334      0.00126734      5.04300774      4.56885440      5.04427508  4.70713542e-04     45.41695450  1.26161713e-06      0.12172755
   1020.0000     -0.47886053      0.00127951      5.04300774      4.56414720      5.04428725  4.70725533e-04     45.41811138  1.17321370e-06      0.11319792
   1030.0000     -0.48356784      0.00129082      5.04300774      4.55943989      5.04429856  4.70736568e-04     45.41917615  1.08945382e-06      0.10511632
   1040.0000     -0.48827526      0.00130132      5.04300774      4.55473248      5.04430905  4.70746709e-04     45.42015460  1.01007353e-06      0.09745728
   1050.0000     -0.49298277      0.00131104      5.04300774      4.55002496      5.04431877  4.70756009e-04     45.42105196  9.34837810e-07      0.09019814
   1060.0000     -0.49769038      0.00132003      5.04300774      4.54531736      5.04432776  4.70764531e-04     45.42187416  8.63514861e-07      0.08331652
   1070.0000     -0.50239806      0.00132832      5.04300774      4.54060967      5.04433606  4.70772320e-04     45.42262565  7.95891114e-07      0.07679182
   1080.0000     -0.50710582      0.00133596      5.04300774      4.53590191      5.04434369  4.70779423e-04     45.42331101  7.31766894e-07      0.07060478
   1090.0000     -0.51181365      0.00134297      5.04300774      4.53119409      5.04435070  4.70785885e-04     45.42393450  6.70948942e-07      0.06473673
   1100.0000     -0.51652154      0.00134939      5.04300774      4.52648620      5.04435712  4.70791748e-04     45.42450021  6.13265435e-07      0.05917112
   1110.0000     -0.52122948      0.00135524      5.04300774      4.52177826      5.04436298  4.70797049e-04     45.42501164  5.58544977e-07      0.05389140
   1120.0000     -0.52593748      0.00136057      5.04300774      4.51707026      5.04436830  4.70801823e-04     45.42547234  5.06628603e-07      0.04888223
   1130.0000     -0.53064552      0.00136538      5.04300774      4.51236222      5.04437312  4.70806105e-04     45.42588540  4.57371280e-07      0.04412962
   1140.0000     -0.53535360      0.00136972      5.04300774      4.50765414      5.04437746  4.70809927e-04     45.42625424  4.10632119e-07      0.03961998
